,release_date,track_id,track_name,track_rating,artist_id,artist_name,album_id,album_name,genre,lyrics
0,2020-08-07,196436953,Heat Waves,95,24444227,Glass Animals,37969119,Dreamland,Rock,"Last night, all I think about is you
Don't stop, baby, you can walk through
Don't wanna, but I think about you
You know that I'm never gonna lose

Road shimmer, wiggling the vision

Heat, heat waves, I'm swimming in a mirror
Road shimmer, wiggling the vision
Heat, heat waves, I'm swimmin' in a-

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Usually, I put something on TV
So we never think about you and me
But today, I see our reflections clearly in Hollywood
Laying on the screen

You just need a better life than this
...

******* This Lyrics is NOT for Commercial use *******"
1,2022-05-20,236191108,As It Was,99,24505463,Harry Styles,51528546,Harry's House,Pop,"Come on, Harry, we wanna say ""good night"" to you!

Holding me back
Gravity's holding me back
I want you to hold out the palm of your hand
Why don't we leave it at that?

Nothing to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay
Oh-oh-oh

In this world
It's just us
You know it's not the same as it was

In this world
It's just us
You know it's not the same as it was
...

******* This Lyrics is NOT for Commercial use *******"
2,2021-11-19,226562358,Easy On Me,91,346898,Adele,48110510,30,Pop,"There ain't no gold in this river
That I've been washing my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in

Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So, go easy on me
...

******* This Lyrics is NOT for Commercial use *******"
3,2021-10-29,223224367,Shivers,92,49581672,Ed Sheeran,46693321,=,Pop,"I took an arrow to the heart
I never kissed a mouth that taste like yours
Strawberries and something more
Ooh, yeah, I want it all

Lipstick on my guitar (ooh)
Fill up the engine, we can drive real far
Go dancing underneath the stars
Ooh, yeah, I want it all
Hmm, you got me feeling like

I wanna be that guy
I wanna kiss your eyes
I wanna drink that smile
I wanna feel like I'm
Like my soul's on fire
I wanna stay up all day and all night
Yeah, you got me singing like

Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we bring it right back

And we'll say
Ooh, I love it when you do it like that
And when you're close up, give me the shivers
...

******* This Lyrics is NOT for Commercial use *******"
4,2022-05-06,235600884,First Class,84,28830691,Jack Harlow,51354010,Come Home The Kids Miss You,Pop,"Uh

I been a (G), throw up the (L)
Sex in the (AM), uh-huh (O-R-O-U-S, yeah)
And I could put you in (first class, up in the sky)
I could put you in (first class, up in the, up-up in the)

I been a (G), throw up the (L)
Sex in the (AM), uh-huh (O-R-O-U-S, yeah)
And I could put you in (first class, up in the sky)
I could put you in (first class, up in the, up-up in the)

I could see the whole city from this balcony
Back in 2019, I was outside freely, but now they got it out for me
I'on care what frat that you was in
You can't alpha me, keep dreaming

Pineapple juice, I give her sweet, sweet, sweet semen
I know what they like, so I just keep cheesing
Hard drive full of heat seeking
...

******* This Lyrics is NOT for Commercial use *******"
5,2022-03-31,233425593,Big Energy (feat. DJ Khaled) - Remix,79,52971138,Latto feat. Mariah Carey & DJ Khaled,50656377,Big Energy (feat. DJ Khaled) [Remix],Hip Hop/Rap,"This the remix (haha)
Is Miami in the house? (Sweet, sweet fantasy)
Is Atlanta in the house?
Is New York in the house?
Got that big dick energy (Mimi, Latto, DJ Khaled)
Hey, daddy, when you gon' stop playin'? (Another one)

Bad bitch, I could be your fantasy
I can tell you got big dick energy (uh-huh)
It ain't too many niggas that can handle me (yeah)
But I might let you try it off the Hennessy
Make 'em sing to this pussy like a melody
And if your bitch ain't right, I got the remedy
It ain't too many niggas that can handle me (ayy)
Bad bitch, I could be your fantasy

Oh, when you walk by every night
Talking sweet and looking fine
I get kind of hectic inside
Mmm, baby, I'm so into you
Darling, if you only knew
All the things that flow through my mind

But it's just a sweet, sweet
You gon' have to come and see this
...

******* This Lyrics is NOT for Commercial use *******"
6,2021-03-19,212093082,Ghost,92,33491916,Justin Bieber,43246964,Justice,Pop,"Young blood thinks there's always tomorrow

I miss your touch on nights when I'm hollow
I know you crossed a bridge that I can't follow

Since the love that you left is all that I get, I want you to know that

If I can't be close to you, I'll settle for the ghost of you
I miss you more than life (more than life)
And if you can't be next to me, your memory is ecstasy
...

******* This Lyrics is NOT for Commercial use *******"
7,2022-02-24,232495012,Super Gremlin,80,33491589,Kodak Black,50301869,Back For Everything,Hip Hop/Rap,"Yeah, we could be superstars
We been rather wreckin' cars (hey bro, is that Jambo?)
What is at stake for us?
Kickin' off power mirrors
Yeah, we could be superstars
But I'm pretty sure our time is up
And so we fell off the spinning tops
Don't know, maybe for trial (ATL Jacob)
But way more error (ATL Jacob)

Say you my nigga, I'ma be your killer
Nobody gon' play with you when I'm with you
Go against any nigga, like, fuck this glitter
Skeet off third, I'm busy
I put it in for you, I spin for you
Whatever you with, I'm with it
How you gon' cross a nigga that was rockin' with you?
I got you lit in the city

I been multitaskin'
Rappin' and bein' a daddy to my lil' children
I been standin' on business
And spinnin' and spinnin' and spinnin' until I'm dizzy
I do all the smackin'
You ain't never stepped or helped with none of this killin'
You doin' a lot of cappin'
Watch when I catch you, I'ma whack you in front of the witness

Damn, my nigga, you trippin'
We could've been superstars
Remember when we was jackin' cars
Now, it's not safe for you
You switched like a pussy, lil' bitch

...

******* This Lyrics is NOT for Commercial use *******"
8,2022-07-15,241607677,About Damn Time,94,51640288,Lizzo,52927569,Special,Pop,"Anyway-

It's bad bitch o'clock, yeah, it's thick:30
I've been through a lot, but I'm still flirty (okay)
Is everybody back up in the building?
It's been a minute, tell me how you're healing
'Cause I'm about to get into my feelings
How you feeling? How you feel right now?

Oh, I've been so down and under pressure
I'm way too fine to be this stressed, yeah
Oh, I'm not the girl I was or used to be, uh
Bitch, I might be better

Turn up the music, turn down the lights
I've got a feeling I'm gon' be alright
Okay (okay), alright
It's about damn time (time)
Turn up the music, let's celebrate (alright)
I've got a feeling I'm gon' be okay
Okay (okay), alright
It's about damn time

...

******* This Lyrics is NOT for Commercial use *******"
9,2021-10-29,222695454,Bad Habits,97,49581672,Ed Sheeran,46693321,=,Pop,"One, two, three, four
Ooh-ooh, ooh-ooh-ooh

Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control
I can feel the paradise before my world implodes
And tonight had something wonderful

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last, but it probably won't
I got nothin' left to lose, or use, or do

My bad habits lead to wide eyes stare into space
And I know I'll lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true
It's true, my bad habits lead to you

Ooh-ooh, ooh-ooh-ooh
My bad habits lead to you
...

******* This Lyrics is NOT for Commercial use *******"
